OBJECTID;Anlage;Baumnummer;Gattung_Dt;Gattung_Lat;Pflanzdatum;X;Y;Lon;Lat
7857;Sauerweinwiese;94;Scheinakazie;Robinia pseudoacacia;;75268,3395999996;236773,4893;11,3275997780001;47,2655180350001
7858;Franz-Baumann-Weg;4;Feldahorn 'Elsrijk';Acer campestre 'Elsrijk';20.11.2017;76509,5146000003;236807,528000001;11,3440036270001;47,2656810970001
7859;Amraser Straße - Mitte;80;Einblättrige Esche;Fraxinus excelsior 'Diversifolia';20.11.2013;81233,6623999998;236699,4948;11,4063972690001;47,264143571
7860;Defreggerstraße;1;Säulenblasenbaum;Koelreuteria paniculata 'Fastigiata';20.11.2013;81233,9270000001;236741,299000001;11,4064083430001;47,2645194880001
7861;Defreggerstraße;2;Säulenblasenbaum;Koelreuteria paniculata 'Fastigiata';20.11.2013;81254,5645000003;236739,9629;11,4066807460001;47,2645049260001
7862;Defreggerstraße;3;Säulenblasenbaum;Koelreuteria paniculata 'Fastigiata';20.11.2013;81265,8092999998;236739,8968;11,4068292910001;47,2645029430001
7863;Sillinsel;3;Ginkgo;Ginkgo biloba;15.10.2014;81108,7034999998;237008,7728;11,4048024070001;47,2669403550001
7864;Grünbacher Promenade West - Spiel- und Sportanlage;151;Vogelkirsche;Prunus avium;;83568,9800000004;237621,310000001;11,4374210620001;47,272141156
7865;Grünbacher Promenade West - Spiel- und Sportanlage;152;Vogelkirsche;Prunus avium;;83571,25;237624,51;11,437451653;47,2721696460001
7866;Grünbacher Promenade West - Spiel- und Sportanlage;153;Zitterpappel;Populus tremula;;83568,1500000004;237627,68;11,4374112840001;47,2721985470001
7867;Grünbacher Promenade West - Spiel- und Sportanlage;156;Roßkastanie;Aesculus hippocastanum;;83582,9008999998;237641,7634;11,4376088150001;47,272323326
7868;Kranebitter Allee;396;Winterlinde 'Rancho';Tilia cordata 'Rancho';27.10.2016;77281,4869999997;236556,041099999;11,3541593300001;47,2633292450001
7869;Kranebitter Allee;397;Winterlinde 'Rancho';Tilia cordata 'Rancho';27.10.2016;77263,5712000001;236554,089;11,3539223060001;47,2633137910001
7870;Kranebitter Allee;398;Winterlinde 'Rancho';Tilia cordata 'Rancho';27.10.2016;77246,1656999998;236551,9166;11,3536919850001;47,2632962970001
7871;Mittelschule Gabelsbergerstraße;22;Hainbuche;Carpinus betulus;;81512,5690000001;237229,263;11,4101783;47,2688733590001
7872;Arzler Straße;6;Feuerahorn;Acer ginnala;19.04.2010;82463,4826999996;238709,591600001;11,4230145490001;47,2820675900001
7873;Mittelschule Gabelsbergerstraße;23;Schwarzer Maulbeerbaum;Morus nigra;;81513,3899999997;237227,449999999;11,4101888170001;47,2688569530001
7874;Mittelschule Gabelsbergerstraße;25;Gemeine Esche;Fraxinus excelsior;;81516,0175000001;237219,92;11,4102221630001;47,2687889100001
7875;Mittelschule Gabelsbergerstraße;26;Platane;Platanus acerifolia;;81538,5439999998;237223,032;11,4105203540001;47,268814106
7876;Mittelschule Gabelsbergerstraße;27;Platane;Platanus acerifolia;;81547,6459999997;237226,011;11,4106411540001;47,2688397690001
7877;Mittelschule Gabelsbergerstraße;30;Platane;Platanus acerifolia;;81575,6179999998;237233,523;11,4110120940001;47,268903859
7878;Mittelschule Gabelsbergerstraße;31;Platane;Platanus acerifolia;;81585,5659999996;237235,65;11,4111439170001;47,2689217540001
7879;Mittelschule Pembaurstraße;32;Säulenpappel;Populus nigra  'Italica';;81608,7019999996;237247,822000001;11,411451813;47,26902835
7880;Kindergarten Wilten-West;6;Gemeine Esche;Fraxinus excelsior;;79602,9299999997;236075,482999999;11,384742583;47,2587309150001
7881;Falkstraße;70;Winterlinde;Tilia cordata;;80991,8499999996;238034,59;11,4034440340001;47,2761800430001
7882;Lohbachufer;60;Schwarzkiefer;Pinus nigra;;77114,8509999998;236861,479;11,352010437;47,2660956710001
7883;Tivoli  Freiflächen Pradl Süd;16;Japanischer Schnurbaum;Sophora japonica;15.10.2008;81234,3985000001;236170,9871;11,4063112010001;47,2593905420001
7884;Wilten;88;Sandbirke;Betula pendula;;79729,0405000001;236043,9575;11,3864028740001;47,2584321420001
7885;Wilten;78;Abendländischer Lebensbaum;Thuja occidentalis;;79740,6771999998;236195,2136;11,3865834980001;47,259791008
7886;Eichhof Block;50;Eschenahorn;Acer negundo;;81713,3118000003;236688,491800001;11,4127319420001;47,2639852570001
7887;Bienerstraße;50;Einblättrige Esche;Fraxinus excelsior 'Diversifolia';17.11.2016;81083,4244999997;237746,525599999;11,4046019560001;47,2735781700001
7888;Kaiserjägerstraße;16;Duftesche;Tetradium daniellii var. hupehensis;26.04.2019;80736,4211999998;237467,717599999;11,3999665910001;47,2711134750001
7889;Ing.-Etzel-Straße;53;Kegelscheinakazie;Robinia pseudoacacia 'Bessoniana';02.11.2016;81394,1684999997;237823,747500001;11,4087219830001;47,274234274
